"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS","MATH COMP MODEL DYN","TAYLOR & FRANCIS INC","1387-3954","1744-5051","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","757","3.5","Q2","1.33","100"%,
"Complex System Modeling and Simulation","COMPLEX SYST MODEL S","TSINGHUA UNIV PRESS","2096-9929","2097-3705","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","447","3.5","Q2","0.93","97.22"%,
"COMPUTATIONAL BIOLOGY AND CHEMISTRY","COMPUT BIOL CHEM","ELSEVIER SCI LTD","1476-9271","1476-928X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,749","3.4","Q3","0.78","9.99"%,
"Frontiers in Computer Science","FRONT COMP SCI-SWITZ","FRONTIERS MEDIA SA","N/A","2624-9898","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","2,644","3.4","Q3","0.48","99.8"%,
"International Journal of Mobile Learning and Organisation","INT J MOB LEARN ORG","INDERSCIENCE ENTERPRISES LTD","1746-725X","1746-7268","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","543","3.3","Q3","0.92","4.17"%,
"ACM Transactions on Cyber-Physical Systems","ACM TRANS CYBER-PHYS","ASSOC COMPUTING MACHINERY","2378-962X","2378-9638","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","829","3.3","Q3","0.59","20.54"%,
"Data-Centric Engineering","DATA-CENTRIC ENG","CAMBRIDGE UNIV PRESS","N/A","2632-6736","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","656","3.2","Q3","0.61","100"%,
"ACM Journal on Computing and Cultural Heritage","ACM J COMPUT CULT HE","ASSOC COMPUTING MACHINERY","1556-4673","1556-4711","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,928","3.1","Q3","2.33","20.52"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","ELSEVIER SCIENCE INC","1093-3263","1873-4243","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","14,730","3.1","Q3","0.87","8.62"%,
"Molecular Informatics","MOL INFORM","WILEY-V C H VERLAG GMBH","1868-1743","1868-1751","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,533","3.1","Q3","0.76","44.85"%,
"MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","MED BIOL ENG COMPUT","SPRINGER HEIDELBERG","0140-0118","1741-0444","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","8,381","3.1","Q3","0.62","16.33"%,
"Forensic Science International-Digital Investigation","FORENS SCI INT-DIGIT","ELSEVIER SCI LTD","N/A","2666-2817","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,154","3.1","Q3","0.61","72.18"%,
