"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"JOURNAL OF INTELLIGENT INFORMATION SYSTEMS","J INTELL INF SYST","SPRINGER","0925-9902","1573-7675","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,927","3.5","Q2","0.64","24.17"%,
"AI MAGAZINE","AI MAG","WILEY","0738-4602","2371-9621","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,735","3.5","Q2","0.59","97.9"%,
"Journal of Machine Learning for Modeling and Computing","J MACH LEARN MODEL C","BEGELL HOUSE INC","2689-3967","2689-3975","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","287","3.5","Q2","0.57","0"%,
"APPLIED INTELLIGENCE","APPL INTELL","SPRINGER","0924-669X","1573-7497","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","21,092","3.5","Q2","0.55","9.92"%,
"PATTERN RECOGNITION LETTERS","PATTERN RECOGN LETT","ELSEVIER","0167-8655","1872-7344","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","16,255","3.5","Q2","0.55","20.04"%,
"EXPERT SYSTEMS","EXPERT SYST","WILEY","0266-4720","1468-0394","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,610","3.4","Q3","0.54","24.71"%,
"Multimodal Technologies and Interaction","MULTIMODAL TECHNOLOG","MDPI","N/A","2414-4088","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","2,453","3.3","Q3","0.51","99.43"%,
"Applied Computational Intelligence and Soft Computing","APPL COMPUT INTELL S","WILEY","1687-9724","1687-9732","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","862","3.3","Q3","0.47","100"%,
"Journal of Web Semantics","J WEB SEMANT","ELSEVIER","1570-8268","1873-7749","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,116","3.2","Q3","0.73","78.33"%,
"Data-Centric Engineering","DATA-CENTRIC ENG","CAMBRIDGE UNIV PRESS","N/A","2632-6736","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","656","3.2","Q3","0.61","100"%,
